,Date,Dead,Description,Injured,Location,Total,dt,Suspects Dead,Suspects Injured,Year,Month,Day,City,State,loc,loc_name,loc_coords,lat,long,wrapped_descr,Location_
21,"June 17, 2018",1,Art All Night shooting: Several gunmen wounded seventeen people at the Art All Night festival. Five others were wounded when they were trampled by people around them. One of the suspected gunmen was shot and killed by police. Police suspect the shooting was gang-related.[29],22,"Trenton, New Jersey",23,2018-06-17,1,3,2018,6,17,Trenton, New Jersey,"Trenton, Mercer County, New Jersey, USA","Trenton, Mercer County, New Jersey, USA","(40.2170575, -74.7429463)",40.2170575,-74.7429463,"Art All Night
shooting: Several
gunmen wounded
seventeen people at
the Art All Night
festival. Five
others were wounded
when they were
trampled by people
around them. One of
the suspected gunmen
was shot and killed
by police. Police
suspect the shooting
was gang-
related.[29]","Trenton, New Jersey"
22,"May 30–June 4, 2018",7,"2018 Scottsdale spree shootings: Over the course of several days, a man killed a forensic psychiatrist, two paralegals, a counselor, and a couple from whom he took a handgun. The suspect killed himself when police began closing in on him.[30][31]",0,"Scottsdale, Arizona",7,2018-05-30,0,0,2018,5,30,Scottsdale, Arizona,"Scottsdale, Maricopa County, Arizona, USA","Scottsdale, Maricopa County, Arizona, USA","(33.5091215, -111.8992365)",33.5091215,-111.8992365,"2018 Scottsdale
spree shootings:
Over the course of
several days, a man
killed a forensic
psychiatrist, two
paralegals, a
counselor, and a
couple from whom he
took a handgun. The
suspect killed
himself when police
began closing in on
him.[30][31]","Scottsdale, Arizona"
23,"May 18, 2018",10,"Santa Fe High School shooting: A student at Santa Fe High School shot and killed ten people and wounded fourteen others. Explosive devices were also found, but they were not detonated. The suspect was taken into custody by police.[32]",14,"Santa Fe, Texas",24,2018-05-18,0,1,2018,5,18,Santa Fe, Texas,"Santa Fe, Galveston County, Texas, USA","Santa Fe, Galveston County, Texas, USA","(29.3780129, -95.1057625)",29.3780129,-95.1057625,"Santa Fe High School
shooting: A student
at Santa Fe High
School shot and
killed ten people
and wounded fourteen
others. Explosive
devices were also
found, but they were
not detonated. The
suspect was taken
into custody by
police.[32]","Santa Fe, Texas"
24,"April 22, 2018",4,"Nashville Waffle House shooting: A gunman entered a Waffle House, where he killed four people and injured two others. He was later taken into custody.[33]",2,"Nashville, Tennessee",6,2018-04-22,0,0,2018,4,22,Nashville, Tennessee,"Nashville-Davidson, Davidson County, Tennessee, USA","Nashville-Davidson, Davidson County, Tennessee, USA","(36.1622296, -86.7743531)",36.1622296,-86.7743531,"Nashville Waffle
House shooting: A
gunman entered a
Waffle House, where
he killed four
people and injured
two others. He was
later taken into
custody.[33]","Nashville, Tennessee"
25,"April 3, 2018",1,"YouTube headquarters shooting: A woman approached an outdoor patio at YouTube Headquarters and wounded three people before committing suicide, a fourth person was injured in the evacuation.[34]",4,"San Bruno, California",5,2018-04-03,1,4,2018,4,3,San Bruno, California,"San Bruno, San Mateo County, California, USA","San Bruno, San Mateo County, California, USA","(37.6304904, -122.4110835)",37.6304904,-122.4110835,"YouTube headquarters
shooting: A woman
approached an
outdoor patio at
YouTube Headquarters
and wounded three
people before
committing suicide,
a fourth person was
injured in the
evacuation.[34]","San Bruno, California"
26,"March 9, 2018",5,"Yountville shooting: A man entered the Veterans Home of California and held three staff members hostage. He killed the three staff members (and the unborn child of one of the staff members, who was pregnant) before killing himself in a murder–suicide.[35]",0,"Yountville, California",5,2018-03-09,1,0,2018,3,9,Yountville, California,"Yountville, Napa County, California, USA","Yountville, Napa County, California, USA","(38.395445, -122.360172550506)",38.395445,-122.360172550506,"Yountville shooting:
A man entered the
Veterans Home of
California and held
three staff members
hostage. He killed
the three staff
members (and the
unborn child of one
of the staff
members, who was
pregnant) before
killing himself in a
murder–suicide.[35]","Yountville, California"
27,"February 14, 2018",17,"Stoneman Douglas High School shooting: A former student of Marjory Stoneman Douglas High School entered the school, killed seventeen people, and wounded seventeen others. He was taken into custody by police.[36][37]",17,"Parkland, Florida",34,2018-02-14,0,0,2018,2,14,Parkland, Florida,"Parkland, Broward County, Florida, 33067, USA","Parkland, Broward County, Florida, 33067, USA","(26.3100794, -80.23727)",26.3100794,-80.23727,"Stoneman Douglas
High School
shooting: A former
student of Marjory
Stoneman Douglas
High School entered
the school, killed
seventeen people,
and wounded
seventeen others. He
was taken into
custody by
police.[36][37]","Parkland, Florida"
28,"January 28, 2018",5,Melcroft shooting: A man shot and killed four people and wounded one other at a gas station before he committed suicide.,1,"Melcroft, Pennsylvania",6,2018-01-28,1,0,2018,1,28,Melcroft, Pennsylvania,"Melcroft, Fayette County, Pennsylvania, 15462, USA","Melcroft, Fayette County, Pennsylvania, 15462, USA","(40.0520182, -79.3892016)",40.0520182,-79.3892016,"Melcroft shooting: A
man shot and killed
four people and
wounded one other at
a gas station before
he committed
suicide.","Melcroft, Pennsylvania"
29,"January 23, 2018",2,Marshall County High School shooting: A fifteen-year-old student killed two other students and injured sixteen others before discarding his weapon and attempting to hide among other students. He was apprehended by police.[38],16,"Benton, Kentucky",18,2018-01-23,0,0,2018,1,23,Benton, Kentucky,"Benton, Marshall County, Kentucky, USA","Benton, Marshall County, Kentucky, USA","(36.8572781, -88.350315)",36.8572781,-88.350315,"Marshall County High
School shooting: A
fifteen-year-old
student killed two
other students and
injured sixteen
others before
discarding his
weapon and
attempting to hide
among other
students. He was
apprehended by
police.[38]","Benton, Kentucky"
30,"December 31, 2017",2,"Copper Canyon Apartment Homes shooting: After being called to a home for a report of a disturbance, five police officers were shot in an ""ambush-style"" attack. One officer was killed and the other four were wounded. Two other people were also wounded in a neighboring apartment. Officers later re-entered the apartment with a SWAT team and killed the suspect; another officer was injured in this exchange.[39]",6,"Highlands Ranch, Colorado",8,2017-12-31,1,0,2017,12,31,Highlands Ranch, Colorado,"Highlands Ranch, Douglas County, Colorado, 80126, USA","Highlands Ranch, Douglas County, Colorado, 80126, USA","(39.5538771, -104.9694264)",39.5538771,-104.9694264,"Copper Canyon
Apartment Homes
shooting: After
being called to a
home for a report of
a disturbance, five
police officers were
shot in an ""ambush-
style"" attack. One
officer was killed
and the other four
were wounded. Two
other people were
also wounded in a
neighboring
apartment. Officers
later re-entered the
apartment with a
SWAT team and killed
the suspect; another
officer was injured
in this
exchange.[39]","Highlands Ranch, Colorado"
31,"December 7, 2017",3,Aztec High School shooting: A man walked into Aztec High School disguised as a student and killed two before killing himself.,0,"Aztec, New Mexico",3,2017-12-07,1,0,2017,12,7,Aztec, New Mexico,"Aztec, San Juan County, New Mexico, 87410, USA","Aztec, San Juan County, New Mexico, 87410, USA","(36.8220629, -107.9928992)",36.8220629,-107.9928992,"Aztec High School
shooting: A man
walked into Aztec
High School
disguised as a
student and killed
two before killing
himself.","Aztec, New Mexico"
32,"November 13, 2017",6,"Rancho Tehama Reserve shootings: A man killed his wife and hid her body under the floorboards of their home before killing two neighbors, firing at random at people, and then ramming his truck through the gates of an elementary school and firing at those inside. He then drove away and targeted other random victims before being rammed by police and shooting himself. He killed five people and injured twelve others (some with bullet wounds, others were injured by flying glass) before committing suicide.[40]",12,"Tehama County, California",18,2017-11-13,1,0,2017,11,13,Tehama County, California,"Tehama County, California, USA","Tehama County, California, USA","(40.1251334, -122.2015529)",40.1251334,-122.2015529,"Rancho Tehama
Reserve shootings: A
man killed his wife
and hid her body
under the
floorboards of their
home before killing
two neighbors,
firing at random at
people, and then
ramming his truck
through the gates of
an elementary school
and firing at those
inside. He then
drove away and
targeted other
random victims
before being rammed
by police and
shooting himself. He
killed five people
and injured twelve
others (some with
bullet wounds,
others were injured
by flying glass)
before committing
suicide.[40]","Tehama County, California"
33,"November 5, 2017",27,"Sutherland Springs church shooting: A gunman approached the First Baptist Church in Sutherland Springs and killed two people outside before entering and shooting at the congregation, killing 26 people (including an unborn child) and injuring twenty. He was confronted by a local man with a gun, and they exchanged gunfire before entering a vehicle. The man flagged down another person and they began a high-speed chase of the gunman, which ended when the gunman went off the road and was found dead either from a self-inflicted gunshot wound or from one of the two bullets fired by the local man.[41][42]",20,"Sutherland Springs, Texas",47,2017-11-05,1,0,2017,11,5,Sutherland Springs, Texas,"Sutherland Springs, Wilson County, Texas, 78161, USA","Sutherland Springs, Wilson County, Texas, 78161, USA","(29.273321, -98.0570115)",29.273321,-98.0570115,"Sutherland Springs
church shooting: A
gunman approached
the First Baptist
Church in Sutherland
Springs and killed
two people outside
before entering and
shooting at the
congregation,
killing 26 people
(including an unborn
child) and injuring
twenty. He was
confronted by a
local man with a
gun, and they
exchanged gunfire
before entering a
vehicle. The man
flagged down another
person and they
began a high-speed
chase of the gunman,
which ended when the
gunman went off the
road and was found
dead either from a
self-inflicted
gunshot wound or
from one of the two
bullets fired by the
local man.[41][42]","Sutherland Springs, Texas"
34,"October 1, 2017",59,"2017 Las Vegas shooting: A man in a high floor of a hotel opened fire on a country music festival happening outside, killing 58 people and injuring 851 others, with 422 of them suffering from gunshot wounds. The man then shot himself.[43][44]",422,"Las Vegas, Nevada",481,2017-10-01,1,0,2017,10,1,Las Vegas, Nevada,"Las Vegas, Clark County, Nevada, USA","Las Vegas, Clark County, Nevada, USA","(36.1662859, -115.149225)",36.1662859,-115.149225,"2017 Las Vegas
shooting: A man in a
high floor of a
hotel opened fire on
a country music
festival happening
outside, killing 58
people and injuring
851 others, with 422
of them suffering
from gunshot wounds.
The man then shot
himself.[43][44]","Las Vegas, Nevada"
35,"September 24, 2017",1,"Burnette Chapel shooting: A man killed a woman outside the Burnette Chapel Church of Christ before entering the chapel and wounding seven others. During a struggle with an usher, the man shot himself in the chest. The usher ran to his car to get his own pistol and held the man at gunpoint until police arrived to arrest him.[45]",8,"Antioch, Tennessee",9,2017-09-24,0,1,2017,9,24,Antioch, Tennessee,"Antioch, Loudon County, Tennessee, 37772, USA","Antioch, Loudon County, Tennessee, 37772, USA","(35.756467, -84.2179718)",35.756467,-84.2179718,"Burnette Chapel
shooting: A man
killed a woman
outside the Burnette
Chapel Church of
Christ before
entering the chapel
and wounding seven
others. During a
struggle with an
usher, the man shot
himself in the
chest. The usher ran
to his car to get
his own pistol and
held the man at
gunpoint until
police arrived to
arrest him.[45]","Antioch, Tennessee"
36,"September 10, 2017",9,"2017 Plano shooting: A man entered his ex-wife's home while she was hosting a football-watching party and killed her and seven others, and wounded one other. He was killed by police.[46]",1,"Plano, Texas",10,2017-09-10,1,0,2017,9,10,Plano, Texas,"Plano, Collin County, Texas, USA","Plano, Collin County, Texas, USA","(33.0136764, -96.6925096)",33.0136764,-96.6925096,"2017 Plano shooting:
A man entered his
ex-wife's home while
she was hosting a
football-watching
party and killed her
and seven others,
and wounded one
other. He was killed
by police.[46]","Plano, Texas"
37,"August 28, 2017",2,Clovis library shooting: A sixteen-year-old killed two people and wounded four others at a public library before surrendering to police.[47],4,"Clovis, New Mexico",6,2017-08-28,0,0,2017,8,28,Clovis, New Mexico,"Clovis, Curry County, New Mexico, 88101, USA","Clovis, Curry County, New Mexico, 88101, USA","(34.405472, -103.2050709)",34.405472,-103.2050709,"Clovis library
shooting: A sixteen-
year-old killed two
people and wounded
four others at a
public library
before surrendering
to police.[47]","Clovis, New Mexico"
38,"July 1, 2017",0,Little Rock nightclub shooting: Twenty-eight people were injured (twenty-five directly by gunfire) when shooting broke out in a nightclub where rapper Finese 2Tymes was performing.[48],28,"Little Rock, Arkansas",28,2017-07-01,0,0,2017,7,1,Little Rock, Arkansas,"Little Rock, Arkansas, USA","Little Rock, Arkansas, USA","(34.7464809, -92.2895948)",34.7464809,-92.2895948,"Little Rock
nightclub shooting:
Twenty-eight people
were injured
(twenty-five
directly by gunfire)
when shooting broke
out in a nightclub
where rapper Finese
2Tymes was
performing.[48]","Little Rock, Arkansas"
39,"June 30, 2017",2,Bronx-Lebanon Hospital attack: A former hospital employee killed a doctor and wounded six others before he committed suicide.,6,"New York City, New York",8,2017-06-30,0,0,2017,6,30,New York City, New York,"NYC, New York, United States of America","NYC, New York, United States of America","(40.7127281, -74.0060152)",40.7127281,-74.0060152,"Bronx-Lebanon
Hospital attack: A
former hospital
employee killed a
doctor and wounded
six others before he
committed suicide.","New York City, New York"
40,"June 14, 2017",4,"San Francisco UPS shooting: A gunman entered his workplace and singled out coworkers, killing three and wounding five, before committing suicide.[49]",5,"San Francisco, California",9,2017-06-14,1,0,2017,6,14,San Francisco, California,"SF, California, USA","SF, California, USA","(37.7792808, -122.4192363)",37.7792808,-122.4192363,"San Francisco UPS
shooting: A gunman
entered his
workplace and
singled out
coworkers, killing
three and wounding
five, before
committing
suicide.[49]","San Francisco, California"
41,"June 14, 2017",1,"2017 Congressional baseball shooting: A gunman shot and wounded four people, including Republican Congressman and House Majority Whip Steve Scalise, while they were practicing for the Congressional Baseball Game. Two others were also injured in other ways. The gunman was killed after being engaged by Capitol police officers assigned to protect Scalise and by police officers responding to the scene.[50]",6,"Alexandria, Virginia",7,2017-06-14,1,0,2017,6,14,Alexandria, Virginia,"Alexandria, Virginia, USA","Alexandria, Virginia, USA","(38.8147596, -77.0902476527272)",38.8147596,-77.0902476527272,"2017 Congressional
baseball shooting: A
gunman shot and
wounded four people,
including Republican
Congressman and
House Majority Whip
Steve Scalise, while
they were practicing
for the
Congressional
Baseball Game. Two
others were also
injured in other
ways. The gunman was
killed after being
engaged by Capitol
police officers
assigned to protect
Scalise and by
police officers
responding to the
scene.[50]","Alexandria, Virginia"
42,"June 8, 2017",4,Eaton Township Weis Markets shooting: An employee of a Weis Markets supermarket who was working a night shift barricaded the exits and killed three coworkers before killing himself.[51],0,"Eaton Township, Pennsylvania",4,2017-06-08,1,0,2017,6,8,Eaton Township, Pennsylvania,"Eaton Dam, Greenfield Township, Erie County, Pennsylvania, 14736, USA","Eaton Dam, Greenfield Township, Erie County, Pennsylvania, 14736, USA","(42.1461835, -79.7678582)",42.1461835,-79.7678582,"Eaton Township Weis
Markets shooting: An
employee of a Weis
Markets supermarket
who was working a
night shift
barricaded the exits
and killed three
coworkers before
killing himself.[51]","Eaton Township, Pennsylvania"
43,"June 6, 2017",3,"Sandy, Utah attack: A man rammed a vehicle containing his ex-girlfriend, killing two and wounding two more, before committing suicide.[52]",2,"Sandy, Utah",5,2017-06-06,1,0,2017,6,6,Sandy, Utah,"Sandy, Salt Lake County, Utah, USA","Sandy, Salt Lake County, Utah, USA","(40.5664878, -111.838904)",40.5664878,-111.838904,"Sandy, Utah attack:
A man rammed a
vehicle containing
his ex-girlfriend,
killing two and
wounding two more,
before committing
suicide.[52]","Sandy, Utah"
44,"June 5, 2017",6,Orlando factory shooting: A former employee entered the factory through a rear exit and killed five employees and then himself.[53],0,"Orlando, Florida",6,2017-06-05,1,0,2017,6,5,Orlando, Florida,"Orlando, Orange County, Florida, USA","Orlando, Orange County, Florida, USA","(28.5421097, -81.3790388)",28.5421097,-81.3790388,"Orlando factory
shooting: A former
employee entered the
factory through a
rear exit and killed
five employees and
then himself.[53]","Orlando, Florida"
45,"May 27, 2017",8,"2017 Mississippi shootings: A man killed eight people, including several family members and a sheriff's deputy, at three separate houses. He was injured by police and then arrested. The shooter later said he had intended to commit suicide by cop.[54]",1,"Lincoln County, Mississippi",9,2017-05-27,0,1,2017,5,27,Lincoln County, Mississippi,"Lincoln County, Mississippi, USA","Lincoln County, Mississippi, USA","(31.4885409, -90.4480916)",31.4885409,-90.4480916,"2017 Mississippi
shootings: A man
killed eight people,
including several
family members and a
sheriff's deputy, at
three separate
houses. He was
injured by police
and then arrested.
The shooter later
said he had intended
to commit suicide by
cop.[54]","Lincoln County, Mississippi"
